time_s,event_type,round,score,hits,misses,combo,best_combo,expected_color,placed_color,details
2.0780,RoundStart,2,3250,10,0,10,10,,,round=2 countdown=20s
3.4325,Hit,2,3850,11,0,11,11,Red,Red,
4.2094,WrongColor,2,3825,11,1,0,11,Red,Blue,
6.5555,Hit,2,3925,12,1,1,11,Red,Red,
7.5283,Hit,2,4075,13,1,2,11,Blue,Blue,
9.6804,Hit,2,4275,14,1,3,11,Red,Red,
11.8194,Hit,2,4525,15,1,4,11,Red,Red,
14.3467,Hit,2,4825,16,1,5,11,Red,Red,
16.0968,Hit,2,5175,17,1,6,11,Blue,Blue,
18.1001,Hit,2,5575,18,1,7,11,Blue,Blue,
20.1808,Hit,2,6025,19,1,8,11,Blue,Blue,
22.3197,Hit,2,6525,20,1,9,11,Blue,Blue,
22.9658,RoundComplete,2,6525,20,1,9,11,,,round=2 score=6525 hits=20 misses=1
