time_s,event_type,round,score,hits,misses,combo,best_combo,expected_color,placed_color,details
2.0808,RoundStart,2,1700,10,5,1,5,,,round=2 countdown=20s
4.5161,Hit,2,1850,11,5,2,5,Red,Red,
7.3776,Hit,2,2050,12,5,3,5,Blue,Blue,
10.0569,Hit,2,2300,13,5,4,5,Red,Red,
10.6966,Hit,2,2600,14,5,5,5,Blue,Blue,
14.7374,Hit,2,2950,15,5,6,6,Red,Red,
16.8762,Hit,2,3350,16,5,7,7,Red,Red,
19.2091,WrongColor,2,3325,16,6,0,7,Red,Blue,
21.9463,Hit,2,3425,17,6,1,7,Red,Red,
26.0289,Hit,2,3575,18,6,2,7,Red,Red,
32.5571,Hit,2,3775,19,6,3,7,Red,Red,
33.0857,Hit,2,4025,20,6,4,7,Blue,Blue,
33.7887,RoundComplete,2,4025,20,6,4,7,,,round=2 score=4025 hits=20 misses=6
