time_s,event_type,round,score,hits,misses,combo,best_combo,expected_color,placed_color,details
2.0788,RoundStart,2,2025,10,1,4,6,,,round=2 countdown=20s
4.7649,Hit,2,2325,11,1,5,6,Red,Red,
8.2650,Hit,2,2675,12,1,6,6,Blue,Blue,
8.9054,Hit,2,3075,13,1,7,7,Red,Red,
12.1541,Hit,2,3525,14,1,8,8,Red,Red,
19.5426,Hit,2,4025,15,1,9,9,Blue,Blue,
24.0004,Hit,2,4575,16,1,10,10,Blue,Blue,
27.4994,Hit,2,5175,17,1,11,11,Red,Red,
31.5686,Hit,2,5825,18,1,12,12,Red,Red,
34.7919,Hit,2,6525,19,1,13,13,Red,Red,
36.7364,Hit,2,7275,20,1,14,14,Red,Red,
37.4090,RoundComplete,2,7275,20,1,14,14,,,round=2 score=7275 hits=20 misses=1
